system|artal_start|artal_slut|organisationsnummer|foretagsnummer|variabelnamn|beskrivning
Flex Lön|1973|2022|098765-4321|921|Omfattning|Omfattning % för aktuell lönerad
Flex Lön|1973|2022|098765-4321|921|Antal|Antal för aktuell lönerad
Flex Lön|1973|2022|098765-4321|921|Apris|A-Pris för aktuell lönerad
Flex Lön|1973|2022|098765-4321|921|Belopp|Belopp för aktuell lönerad
Flex Lön|1973|2022|098765-4321|921|Lönekod|Lönekod för aktuell lönerad
Flex Lön|1973|2022|098765-4321|921|Bruttolön|Bruttolön för aktuell person
Flex Lön|1973|2022|098765-4321|921|Förmån|Förmån för aktuell person
Flex Lön|1973|2022|098765-4321|921|Prelskatt|Preliminär skatt för aktuell person
Flex Lön|1973|2022|098765-4321|921|Avdrag|Avdrag för aktuell person
Flex Lön|1973|2022|098765-4321|921|Ersättning|Ersättning för aktuell person
Flex Lön|1973|2022|098765-4321|921|Nettolön|Nettolön för aktuell person
Flex Lön|1973|2022|098765-4321|921|Närvaro|Närvaro för aktuell period
Flex Lön|1973|2022|098765-4321|921|Frånvaro|Frånvaro för aktuell period
Flex Lön|1973|2022|098765-4321|921|Summatid|Summa tid för aktuell period
Flex Lön|1973|2022|098765-4321|921|Skattberäknadpå|Skatt beräknas på
Flex Lön|1973|2022|098765-4321|921|SyssGrad|Aktuell sysselsättningsgrad
Flex Lön|1973|2022|098765-4321|921|Arbetsmått|Arbetsmått (tim/vecka) för heltidsarbetande
Flex Lön|1973|2022|098765-4321|921|ArbetsmåttFakt|Den anställdes faktiska arbetsmått (tim/vecka)
Flex Lön|1973|2022|098765-4321|921|Veckoarbetstid|Veckoarbetstid heltid (tim/vecka) (Arbetsmått)
Flex Lön|1973|2022|098765-4321|921|VeckoarbetstidFakt|Veckoarbetstid faktisk (tim/vecka) (ArbetsmåttFakt)
Flex Lön|1973|2022|098765-4321|921|NettoDagar|Antal arbetsdagar per vecka
Flex Lön|1973|2022|098765-4321|921|Månadslön|Heltidsmånadslön enligt personregistret
Flex Lön|1973|2022|098765-4321|921|MånadslönFakt|Faktisk månadslön enligt personregistret
Flex Lön|1973|2022|098765-4321|921|Timlön|Timlön enligt personregistret
Flex Lön|1973|2022|098765-4321|921|EngSkatt|Engångsskatt %
Flex Lön|1973|2022|098765-4321|921|EngSkattUnderlag|Underlag för engångsskatt
Flex Lön|1973|2022|098765-4321|921|SemDagLön|Semesterdaglön
Flex Lön|1973|2022|098765-4321|921|SemDaglönSparad|Semesterdaglön för sparad semester
Flex Lön|1973|2022|098765-4321|921|SemTillägg|Semestertillägg per dag
Flex Lön|1973|2022|098765-4321|921|SemTilläggRörlig|Semestertillägg rörlig del, per dag
Flex Lön|1973|2022|098765-4321|921|SemErsättningProc|Semesterersättning i % enligt avtal
Flex Lön|1973|2022|098765-4321|921|SemDaglönProc|Semesterdaglön i % av månadslön enligt avtal
Flex Lön|1973|2022|098765-4321|921|SemGrLönPer|Periodens semesterlönegrundande lön
Flex Lön|1973|2022|098765-4321|921|SemGrRörligLönPer|Periodens semesterlönegrundande rörlig lön
Flex Lön|1973|2022|098765-4321|921|AktÅr|Aktuellt år
Flex Lön|1973|2022|098765-4321|921|SemÅrStartDatAkt|Aktuellt semesterårs startdatum
Flex Lön|1973|2022|098765-4321|921|SemÅrSlutDatAkt|Aktuellt semesretårs slutdatum
Flex Lön|1973|2022|098765-4321|921|SemÅrStartDatIntj|Intjänandeårets startdatum
Flex Lön|1973|2022|098765-4321|921|SemÅrSlutDatIntj|Intjänandeårets slutdatum
Flex Lön|1973|2022|098765-4321|921|HelMånad|Om radens datum sträcker sig över en månad
Flex Lön|1973|2022|098765-4321|921|SchTidPer|Periodens schematid (tim)
Flex Lön|1973|2022|098765-4321|921|SchTidTransDatum|Schematid mellan transaktionens datum (tim)
Flex Lön|1973|2022|098765-4321|921|SchDgrPer|Antal arbetsdagar i perioden (dgr)
Flex Lön|1973|2022|098765-4321|921|SchDgrTransDatum|Arbetsdagar mellan transaktionens datum (dgr)
Flex Lön|1973|2022|098765-4321|921|Prisbasbelopp|Prisbasbelopp
Flex Lön|1973|2022|098765-4321|921|Inkomstbasbelopp|Inkomstbasbelopp
Flex Lön|1973|2022|098765-4321|921|AkontoKvarvarandeKr|Kvarvarande saldo i kronor från föregående år
Flex Lön|1973|2022|098765-4321|921|AkontoKvarvarandeTim|Kvarvarande saldo i timmar från föregående år
Flex Lön|1973|2022|098765-4321|921|AkontoAvsättningPer|Periodens avsättning till arbetstidskontot
Flex Lön|1973|2022|098765-4321|921|AkontoAvsättningÅr|Avsättning till arbetstidskontot hittils i år
Flex Lön|1973|2022|098765-4321|921|SocAvgProc|Den anställdes gällande procentsats för socavg
Flex Lön|1973|2022|098765-4321|921|SemdgrBetaldaKvar|Antal kvarvarande betalda semesterdagar
Flex Lön|1973|2022|098765-4321|921|SemdgrObetaldaKvar|Antal kvarvarande obetalda semesterdagar
Flex Lön|1973|2022|098765-4321|921|SemdgrSparadeKvar|Antal kvarvarande sparade semesterdagar
Flex Lön|1973|2022|098765-4321|921|SemdgrFörskottKvar|Antal kvarvarande förskottsdagar
Flex Lön|1973|2022|098765-4321|921|SemRätt|Semesterrätt
Flex Lön|1973|2022|098765-4321|921|SemdgrBetaldaUttag|Antal uttagna betalda semesterdagar
