system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|1|(STD)|1|Pension||Tabellskatt|7490||true||0||
Flex Lön|1973|2022|098765-4321|921|4|(STD)|4|Ersättning engångsskatt||Engångsskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|5|(STD)|5|Konteringsfördelning||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|6|(STD)|6|Särskild ersättning||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|8|(STD)|8|Ersättning ej pensionsgr||Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|9|(STD)|9|Ersättning pensionsgr||Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|10|(STD)|10|Timlön|Apris=Timlön|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|11|(STD)|11|Timlön vid ändrad anst|Apris=Timlön|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|14|(STD)|14|Timlön månadsanst|Apris= (Månadslön + N1) /165|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|19|(STD)|19|Timlön retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|19|TIM|19|Timlön retroaktiv||Engångsskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|30|(STD)|30|80/90/100 modell, debet|Om HelMånad¤Belopp= N9¤Annars¤Apris = N9/ AntalKdgrUtbetalningsmånad¤Antal =  AntalKdgrTransDatum¤Belopp = Apris*Antal¤Slut Om|Tabellskatt|7011||||0||true
Flex Lön|1973|2022|098765-4321|921|31|(STD)|31|80/90/100 modell, kredit|Om HelMånad¤Belopp= N9¤Annars¤Apris = N9/ AntalKdgrUtbetalningsmånad¤Antal =  AntalKdgrTransDatum¤Belopp = Antal * Apris¤Slut Om|Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|38|(STD)|38|80/90/100 retro, debet||Engångsskatt|7011||||0||true
Flex Lön|1973|2022|098765-4321|921|39|(STD)|39|80/90/100 retro, kredit||Engångsskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|60|(STD)|60|Arbetsdagar timanställd||Ej Skatt|||true||0||
